Run	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center.Name	Chlorophyll	Collection_date	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	Depth	diameter1	diameter2	DNA_per_g	elev	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	lat_lon	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	org_matter	Organism	pH	Platform	ReleaseDate	Replicate	samp_collect_device	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	Sample.Name	SRA.Study	Temp	water_content	Glacier	Glacier
SRR12805327	AMPLICON	502	14128790	PRJNA668398	SAMN16408929	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	9184036	UNIVERSITY OF COLORADO AT BOULDER	0.066	Dec-2017	public	fastq,sra	s3,gs,ncbi	gs.US,s3.us-east-1,ncbi.public	0.28	0.63	0.78	6.74	200	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274186	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.61913 S 162.937283 E	CAN30_16S	PAIRED	PCR	GENOMIC	0.61	sediment metagenome	8.49	ILLUMINA	2020-10-09T00:00:00Z	Canada Glacier replicate 10	SIPRE core frozen	55.6 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	CAN30	SRP286940	< 0 C	28	Canada	Canada
SRR12805330	AMPLICON	502	7981298	PRJNA668398	SAMN16408928	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	4902106	UNIVERSITY OF COLORADO AT BOULDER	0.07200000000000001	Dec-2017	public	sra,fastq	s3,ncbi,gs	s3.us-east-1,gs.US,ncbi.public	0.29	0.72	0.73	16.36	200	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274183	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.61913 S 162.937283 E	CAN29_16S	PAIRED	PCR	GENOMIC	0.8700000000000001	sediment metagenome	8.53	ILLUMINA	2020-10-09T00:00:00Z	Canada Glacier replicate 9	SIPRE core frozen	95.9 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	CAN29	SRP286940	< 0 C	35	Canada	Canada
SRR12805341	AMPLICON	502	14403384	PRJNA668398	SAMN16408927	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	9369086	UNIVERSITY OF COLORADO AT BOULDER	0.048	Dec-2017	public	fastq,sra	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	0.36	0.84	1.05	8.41	200	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274172	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.61913 S 162.937283 E	CAN28_16S	PAIRED	PCR	GENOMIC	0.64	sediment metagenome	8.34	ILLUMINA	2020-10-09T00:00:00Z	Canada Glacier replicate 8	SIPRE core frozen	167.3 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	CAN28	SRP286940	< 0 C	32	Canada	Canada
SRR12805352	AMPLICON	502	14925966	PRJNA668398	SAMN16408926	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	9607160	UNIVERSITY OF COLORADO AT BOULDER	0.024	Dec-2017	public	sra,fastq	gs,s3,ncbi	ncbi.public,s3.us-east-1,gs.US	0.25	0.38	0.38	7.89	200	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274161	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.61913 S 162.937283 E	CAN27_16S	PAIRED	PCR	GENOMIC	0.59	sediment metagenome	7.8	ILLUMINA	2020-10-09T00:00:00Z	Canada Glacier replicate 7	SIPRE core frozen	89.7 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	CAN27	SRP286940	< 0 C	32	Canada	Canada
SRR12805363	AMPLICON	502	15894324	PRJNA668398	SAMN16408925	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	10310879	UNIVERSITY OF COLORADO AT BOULDER	0.045	Dec-2017	public	fastq,sra	ncbi,gs,s3	gs.US,ncbi.public,s3.us-east-1	0.17	0.33	0.34	17	200	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274150	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.61913 S 162.937283 E	CAN26_16S	PAIRED	PCR	GENOMIC	0.88	sediment metagenome	8.64	ILLUMINA	2020-10-09T00:00:00Z	Canada Glacier replicate 6	SIPRE core frozen	92 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	CAN26	SRP286940	< 0 C	34	Canada	Canada
SRR12805374	AMPLICON	502	19017266	PRJNA668398	SAMN16408924	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	12358229	UNIVERSITY OF COLORADO AT BOULDER	0.07200000000000001	Dec-2017	public	fastq,sra	ncbi,gs,s3	ncbi.public,s3.us-east-1,gs.US	0.17	0.21	0.26	7.26	200	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274139	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.61913 S 162.937283 E	CAN25_16S	PAIRED	PCR	GENOMIC	0.6	sediment metagenome	8.85	ILLUMINA	2020-10-09T00:00:00Z	Canada Glacier replicate 5	SIPRE core frozen	27.3 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	CAN25	SRP286940	< 0 C	31	Canada	Canada
SRR12805381	AMPLICON	502	13134830	PRJNA668398	SAMN16408953	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	8752012	UNIVERSITY OF COLORADO AT BOULDER	0.07300000000000001	NA	public	fastq,sra	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	NA	0.38	0.35	0.59	NA	NA	NA	NA	SRX9274132	uncalculated	uncalculated	NA	Illumina MiSeq	NA	T14_16S	PAIRED	PCR	GENOMIC	0.43000000000000005	sediment metagenome	NA	ILLUMINA	2020-10-09T00:00:00Z	Taylor Glacier replicate 11	SIPRE core frozen	79 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	T14	SRP286940	< 0 C	NA	Taylor	Taylor
SRR12805382	AMPLICON	502	18217078	PRJNA668398	SAMN16408952	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	11863959	UNIVERSITY OF COLORADO AT BOULDER	0.023	Dec-2017	public	sra,fastq	gs,s3,ncbi	gs.US,s3.us-east-1,ncbi.public	0.49	1.01	0.88	6.7	350	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274131	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.73033 S 162.05768 E	T11_16S	PAIRED	PCR	GENOMIC	0.42000000000000004	sediment metagenome	7.6	ILLUMINA	2020-10-09T00:00:00Z	Taylor Glacier replicate 10	SIPRE core frozen	160.7 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	T11	SRP286940	< 0 C	22	Taylor	Taylor
SRR12805383	AMPLICON	502	16020326	PRJNA668398	SAMN16408951	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	10400223	UNIVERSITY OF COLORADO AT BOULDER	0.101	Dec-2017	public	fastq,sra	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	0.32	0.39	0.37	0.88	350	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274130	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.73033 S 162.05768 E	T10_16S	PAIRED	PCR	GENOMIC	0.42000000000000004	sediment metagenome	7.94	ILLUMINA	2020-10-09T00:00:00Z	Taylor Glacier replicate 9	SIPRE core frozen	16.4 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	T10	SRP286940	< 0 C	26	Taylor	Taylor
SRR12805384	AMPLICON	502	11759852	PRJNA668398	SAMN16408950	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	7586214	UNIVERSITY OF COLORADO AT BOULDER	0.028	Dec-2017	public	fastq,sra	gs,ncbi,s3	s3.us-east-1,gs.US,ncbi.public	0.33	0.28	0.25	0.79	350	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274129	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.73033 S 162.05768 E	T9_16S	PAIRED	PCR	GENOMIC	0.44	sediment metagenome	7.98	ILLUMINA	2020-10-09T00:00:00Z	Taylor Glacier replicate 8	SIPRE core frozen	60.2 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	T9	SRP286940	< 0 C	23	Taylor	Taylor
SRR12805385	AMPLICON	502	16010788	PRJNA668398	SAMN16408923	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	10283306	UNIVERSITY OF COLORADO AT BOULDER	0.037	Dec-2017	public	sra,fastq	s3,gs,ncbi	s3.us-east-1,gs.US,ncbi.public	0.12	0.14	0.14	13.43	200	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274128	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.61913 S 162.937283 E	CAN24_16S	PAIRED	PCR	GENOMIC	0.8200000000000001	sediment metagenome	8.9	ILLUMINA	2020-10-09T00:00:00Z	Canada Glacier replicate 4	SIPRE core frozen	19.7 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	CAN24	SRP286940	< 0 C	34	Canada	Canada
SRR12805386	AMPLICON	502	13644360	PRJNA668398	SAMN16408949	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	8817923	UNIVERSITY OF COLORADO AT BOULDER	0.034	Dec-2017	public	sra,fastq	ncbi,gs,s3	ncbi.public,s3.us-east-1,gs.US	0.4	0.56	0.4	1.21	350	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274127	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.73033 S 162.05768 E	T8_16S	PAIRED	PCR	GENOMIC	NA	sediment metagenome	8.18	ILLUMINA	2020-10-09T00:00:00Z	Taylor Glacier replicate 7	SIPRE core frozen	47.3 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	T8	SRP286940	< 0 C	7	Taylor	Taylor
SRR12805387	AMPLICON	502	13950580	PRJNA668398	SAMN16408948	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	9164753	UNIVERSITY OF COLORADO AT BOULDER	0.034	Dec-2017	public	fastq,sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	0.34	0.9	0.79	2	350	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274126	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.73033 S 162.05768 E	T7_16S	PAIRED	PCR	GENOMIC	0.4	sediment metagenome	7.66	ILLUMINA	2020-10-09T00:00:00Z	Taylor Glacier replicate 6	SIPRE core frozen	136.4 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	T7	SRP286940	< 0 C	24	Taylor	Taylor
SRR12805388	AMPLICON	502	15104678	PRJNA668398	SAMN16408947	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	9819459	UNIVERSITY OF COLORADO AT BOULDER	0.021	Dec-2017	public	sra,fastq	s3,ncbi,gs	gs.US,s3.us-east-1,ncbi.public	0.28	0.17	0.17	0.99	350	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274125	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.73033 S 162.05768 E	T6_16S	PAIRED	PCR	GENOMIC	0.33999999999999997	sediment metagenome	8.6	ILLUMINA	2020-10-09T00:00:00Z	Taylor Glacier replicate 5	SIPRE core frozen	31 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	T6	SRP286940	< 0 C	25	Taylor	Taylor
SRR12805389	AMPLICON	502	16371224	PRJNA668398	SAMN16408946	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	10650749	UNIVERSITY OF COLORADO AT BOULDER	0.024	Dec-2017	public	fastq,sra	gs,ncbi,s3	s3.us-east-1,gs.US,ncbi.public	0.25	0.2	0.2	1.09	350	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274124	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.73033 S 162.05768 E	T5_16S	PAIRED	PCR	GENOMIC	0.4	sediment metagenome	8.15	ILLUMINA	2020-10-09T00:00:00Z	Taylor Glacier replicate 4	SIPRE core frozen	68.6 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	T5	SRP286940	< 0 C	23	Taylor	Taylor
SRR12805390	AMPLICON	502	18226616	PRJNA668398	SAMN16408945	MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment	11953254	UNIVERSITY OF COLORADO AT BOULDER	0.113	Dec-2017	public	fastq,sra	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.US	0.22	0.15	0.15	0.94	350	polar desert biome [ENVO:01000186]	Glacier [ENVO:00000133]	cryoconite hole [ENVO:03000039]	SRX9274123	uncalculated	uncalculated	Antarctica: Taylor Valley	Illumina MiSeq	77.73033 S 162.05768 E	T4_16S	PAIRED	PCR	GENOMIC	0.38	sediment metagenome	8.29	ILLUMINA	2020-10-09T00:00:00Z	Taylor Glacier replicate 3	SIPRE core frozen	8.1 g dry cryoconite	21 days	Crary laboratory\, McMurdo Station\, Antarctica	-20 C	T4	SRP286940	< 0 C	26	Taylor	Taylor
