"","Domain","Scenario","Abundance_Class","Area","count","mean_obs","mean_shan","sd_obs","sd_shan"
"1","16S",0,"Total",NA,75,337.573333333333,4.14928941734701,195.296114278427,0.721637297539281
"2","16S",1,"Abundant","Pole",75,117.813333333333,3.55262439557109,62.9971456524846,0.610018227679199
"3","16S",1,"Abundant","Region",75,143.8,3.66410906126629,82.0095577818072,0.645327420067374
"4","16S",1,"Intermediate","Pole",75,168.666666666667,4.19665459901551,107.183895186672,0.819694238580184
"5","16S",1,"Intermediate","Region",75,203.813333333333,4.13132638846401,129.858831182311,0.951299198562866
"6","16S",1,"Rare","Pole",75,136.546666666667,3.74470446930967,93.9978857343213,1.05826088529326
"7","16S",1,"Rare","Region",75,145.36,3.24670714446782,102.262729994588,1.16377552471549
"8","16S",2,"Abundant","Pole",75,117.813333333333,3.55262439557109,62.9971456524846,0.610018227679199
"9","16S",2,"Abundant","Region",75,143.8,3.66410906126629,82.0095577818072,0.645327420067374
"10","16S",2,"Intermediate","Pole",75,127.36,3.9798578234448,81.7778202931081,0.776666993366554
"11","16S",2,"Intermediate","Region",75,163.666666666667,3.99228380947831,108.241263717545,0.926639452468848
"12","16S",2,"Rare","Pole",75,176.186666666667,4.01368060526084,116.865676339575,1.03465192610569
"13","16S",2,"Rare","Region",75,195.413333333333,3.54454928139583,128.364145593206,1.14407709926888
"14","16S",3,"Abundant","Pole",75,117.813333333333,3.55262439557109,62.9971456524846,0.610018227679199
"15","16S",3,"Abundant","Region",75,143.8,3.66410906126629,82.0095577818072,0.645327420067374
"16","16S",3,"Intermediate","Pole",75,76.88,3.54024225791946,52.173556520521,0.784345136622582
"17","16S",3,"Intermediate","Region",75,115.013333333333,3.7132041662595,80.8357516123821,0.860817754699878
"18","16S",3,"Rare","Pole",75,219.453333333333,4.24768933520882,139.727175608768,0.955345595306047
"19","16S",3,"Rare","Region",75,238.08,3.85504258651949,148.514059758482,1.1087869546634
"20","16S",4,"Abundant","Pole",75,80.4533333333333,3.25769266706621,37.6883713276832,0.591440190701644
"21","16S",4,"Abundant","Region",75,100.786666666667,3.40910352165853,51.9064369630415,0.617266322418655
"22","16S",4,"Intermediate","Pole",75,193.733333333333,4.23261007597884,120.116760013064,0.903032436897967
"23","16S",4,"Intermediate","Region",75,226.96,4.24260607673454,141.851982238053,0.883028580557904
"24","16S",4,"Rare","Pole",75,136.546666666667,3.74470446930967,93.9978857343213,1.05826088529326
"25","16S",4,"Rare","Region",75,145.36,3.24670714446782,102.262729994588,1.16377552471549
"26","16S",5,"Abundant","Pole",75,80.4533333333333,3.25769266706621,37.6883713276832,0.591440190701644
"27","16S",5,"Abundant","Region",75,100.786666666667,3.40910352165853,51.9064369630415,0.617266322418655
"28","16S",5,"Intermediate","Pole",75,155.16,4.07168144356725,96.8865371508399,0.863189624415473
"29","16S",5,"Intermediate","Region",75,190.12,4.13937228756937,122.432768092136,0.862685031882659
"30","16S",5,"Rare","Pole",75,176.186666666667,4.01368060526084,116.865676339575,1.03465192610569
"31","16S",5,"Rare","Region",75,195.413333333333,3.54454928139583,128.364145593206,1.14407709926888
"32","16S",6,"Abundant","Pole",75,80.4533333333333,3.25769266706621,37.6883713276832,0.591440190701644
"33","16S",6,"Abundant","Region",75,100.786666666667,3.40910352165853,51.9064369630415,0.617266322418655
"34","16S",6,"Intermediate","Pole",75,112.093333333333,3.79265189818287,73.2589212966554,0.872210938335809
"35","16S",6,"Intermediate","Region",75,152.16,3.95083814423649,102.286830411719,0.869476937311846
"36","16S",6,"Rare","Pole",75,219.453333333333,4.24768933520882,139.727175608768,0.955345595306047
"37","16S",6,"Rare","Region",75,238.08,3.85504258651949,148.514059758482,1.1087869546634
"38","16S",7,"Abundant","Pole",75,47.2266666666667,2.80587648611177,20.3340835779475,0.564123995820804
"39","16S",7,"Abundant","Region",75,65.84,3.03543765626625,31.6889613315153,0.631832093858266
"40","16S",7,"Intermediate","Pole",75,214.973333333333,4.2663322995931,127.26297240024,0.855371403995951
"41","16S",7,"Intermediate","Region",75,242.706666666667,4.29789216204534,146.456964745698,0.844076895867394
"42","16S",7,"Rare","Pole",75,136.546666666667,3.74470446930967,93.9978857343213,1.05826088529326
"43","16S",7,"Rare","Region",75,145.36,3.24670714446782,102.262729994588,1.16377552471549
"44","16S",8,"Abundant","Pole",75,47.2266666666667,2.80587648611177,20.3340835779475,0.564123995820804
"45","16S",8,"Abundant","Region",75,65.84,3.03543765626625,31.6889613315153,0.631832093858266
"46","16S",8,"Intermediate","Pole",75,177.64,4.14141447158643,103.968373569575,0.817078317939053
"47","16S",8,"Intermediate","Region",75,208.44,4.19557954295491,126.639223674867,0.828580203306437
"48","16S",8,"Rare","Pole",75,176.186666666667,4.01368060526084,116.865676339575,1.03465192610569
"49","16S",8,"Rare","Region",75,195.413333333333,3.54454928139583,128.364145593206,1.14407709926888
"50","16S",9,"Abundant","Pole",75,47.2266666666667,2.80587648611177,20.3340835779475,0.564123995820804
"51","16S",9,"Abundant","Region",75,65.84,3.03543765626625,31.6889613315153,0.631832093858266
"52","16S",9,"Intermediate","Pole",75,138.693333333333,3.95138994152981,81.8081099087789,0.799308884968354
"53","16S",9,"Intermediate","Region",75,173.453333333333,4.05418995861989,107.346533237912,0.823969107416397
"54","16S",9,"Rare","Pole",75,219.453333333333,4.24768933520882,139.727175608768,0.955345595306047
"55","16S",9,"Rare","Region",75,238.08,3.85504258651949,148.514059758482,1.1087869546634
"56","18S",0,"Total",NA,63,132.079365079365,2.99248528461222,104.769378311835,0.808521626233016
"57","18S",1,"Abundant","Pole",63,13.8730158730159,1.94191254661117,10.933069196165,0.657123281584861
"58","18S",1,"Abundant","Region",63,20.5238095238095,2.03390000966879,23.2835655337221,0.805607288979333
"59","18S",1,"Intermediate","Pole",63,40.3650793650794,3.17712860453753,27.2860011297898,0.749334910960875
"60","18S",1,"Intermediate","Region",63,42.7777777777778,3.18969889044903,32.9253527398963,0.783420934042756
"61","18S",1,"Rare","Pole",63,80.8253968253968,3.81692054289351,89.3098158970546,0.814286603613376
"62","18S",1,"Rare","Region",63,73.8730158730159,3.54864259755074,90.1767962543208,1.10363938376802
"63","18S",2,"Abundant","Pole",63,13.8730158730159,1.94191254661117,10.933069196165,0.657123281584861
"64","18S",2,"Abundant","Region",63,20.5238095238095,2.03390000966879,23.2835655337221,0.805607288979333
"65","18S",2,"Intermediate","Pole",63,23.8253968253968,2.6471275650147,18.3887585598443,0.924929715316505
"66","18S",2,"Intermediate","Region",63,25.1904761904762,2.65210027142216,21.216135933839,0.944887865956309
"67","18S",2,"Rare","Pole",63,97.2539682539683,3.97616839982525,95.7099058233193,0.693183616401166
"68","18S",2,"Rare","Region",63,91.3174603174603,3.81866057916991,97.1181231877475,0.872900944721036
"69","18S",3,"Abundant","Pole",63,13.8730158730159,1.94191254661117,10.933069196165,0.657123281584861
"70","18S",3,"Abundant","Region",63,20.5238095238095,2.03390000966879,23.2835655337221,0.805607288979333
"71","18S",3,"Intermediate","Pole",63,11.2857142857143,1.86058626277964,10.3696650822025,0.984138354094826
"72","18S",3,"Intermediate","Region",63,12.5714285714286,1.9041331402538,12.4339730832886,1.03305520667682
"73","18S",3,"Rare","Pole",63,109.31746031746,4.00969288093364,99.8605197257534,0.657765834170442
"74","18S",3,"Rare","Region",63,103.428571428571,3.91717706073592,101.199693083449,0.750002882505873
"75","18S",4,"Abundant","Pole",63,8.3015873015873,1.52148936467668,7.22369515091719,0.687444489429838
"76","18S",4,"Abundant","Region",63,13.8730158730159,1.65761156404217,17.3051288905659,0.90188850543509
"77","18S",4,"Intermediate","Pole",63,46.0634920634921,3.17261435329257,30.6109157295621,0.768700697413723
"78","18S",4,"Intermediate","Region",63,49.3492063492063,3.1983925601668,37.0188089638483,0.80486611471345
"79","18S",4,"Rare","Pole",63,80.8253968253968,3.81692054289351,89.3098158970546,0.814286603613376
"80","18S",4,"Rare","Region",63,73.8730158730159,3.54864259755074,90.1767962543208,1.10363938376802
"81","18S",5,"Abundant","Pole",63,8.3015873015873,1.52148936467668,7.22369515091719,0.687444489429838
"82","18S",5,"Abundant","Region",63,13.8730158730159,1.65761156404217,17.3051288905659,0.90188850543509
"83","18S",5,"Intermediate","Pole",63,29.5238095238095,2.78414073184896,22.2687812309412,0.891345180251799
"84","18S",5,"Intermediate","Region",63,31.968253968254,2.80852209078565,26.3181332397414,0.924825631402196
"85","18S",5,"Rare","Pole",63,97.2539682539683,3.97616839982525,95.7099058233193,0.693183616401166
"86","18S",5,"Rare","Region",63,91.3174603174603,3.81866057916991,97.1181231877475,0.872900944721036
"87","18S",6,"Abundant","Pole",63,8.3015873015873,1.52148936467668,7.22369515091719,0.687444489429838
"88","18S",6,"Abundant","Region",63,13.8730158730159,1.65761156404217,17.3051288905659,0.90188850543509
"89","18S",6,"Intermediate","Pole",63,17.0793650793651,2.29567996115997,14.6301738433673,0.87844377443829
"90","18S",6,"Intermediate","Region",63,19.6666666666667,2.35133420895832,18.5315772355919,0.945639869100551
"91","18S",6,"Rare","Pole",63,109.31746031746,4.00969288093364,99.8605197257534,0.657765834170442
"92","18S",6,"Rare","Region",63,103.428571428571,3.91717706073592,101.199693083449,0.750002882505873
"93","18S",7,"Abundant","Pole",63,4.68253968253968,0.991690400071663,4.4570545634381,0.74913441165123
"94","18S",7,"Abundant","Region",63,8.38095238095238,1.18649835001583,10.8886276445458,1.02968703810316
"95","18S",7,"Intermediate","Pole",63,49.5714285714286,3.08446017448064,32.9367498865258,0.742407046990026
"96","18S",7,"Intermediate","Region",63,53.8888888888889,3.12532694491971,40.4535221605874,0.799996328606158
"97","18S",7,"Rare","Pole",63,80.8253968253968,3.81692054289351,89.3098158970546,0.814286603613376
"98","18S",7,"Rare","Region",63,73.8730158730159,3.54864259755074,90.1767962543208,1.10363938376802
"99","18S",8,"Abundant","Pole",63,4.68253968253968,0.991690400071663,4.4570545634381,0.74913441165123
"100","18S",8,"Abundant","Region",63,8.38095238095238,1.18649835001583,10.8886276445458,1.02968703810316
"101","18S",8,"Intermediate","Pole",63,33.1428571428571,2.79607270506306,24.9585832045017,0.790027506190487
"102","18S",8,"Intermediate","Region",63,36.8253968253968,2.83586975582234,30.9419538149803,0.848561630816789
"103","18S",8,"Rare","Pole",63,97.2539682539683,3.97616839982525,95.7099058233193,0.693183616401166
"104","18S",8,"Rare","Region",63,91.3174603174603,3.81866057916991,97.1181231877475,0.872900944721036
"105","18S",9,"Abundant","Pole",63,4.68253968253968,0.991690400071663,4.4570545634381,0.74913441165123
"106","18S",9,"Abundant","Region",63,8.38095238095238,1.18649835001583,10.8886276445458,1.02968703810316
"107","18S",9,"Intermediate","Pole",63,20.6984126984127,2.41930761091858,17.4888304637052,0.788307296152631
"108","18S",9,"Intermediate","Region",63,24.8412698412698,2.4884430156592,24.0055143861185,0.882361206731681
"109","18S",9,"Rare","Pole",63,109.31746031746,4.00969288093364,99.8605197257534,0.657765834170442
"110","18S",9,"Rare","Region",63,103.428571428571,3.91717706073592,101.199693083449,0.750002882505873
